title,authors,description,ISBN
Wild Animus,['Rich Shapero'],"Wild animus is a search for the primordial, a test of human foundations and a journey to the breaking point.",0971880107
The Lovely Bones,['Alice Sebold'],"The spirit of fourteen-year-old Susie Salmon describes her murder, her surprise at her new home in heaven, and her witness to her family's grief, efforts to find the killer, and attempts to come to terms with what has happened. A first novel. Reprint. 50,000 first printing.",0316666343
The Da Vinci Code,['Dan Brown'],"Harvard symbologist Robert Langdon and French cryptologist Sophie Neveu work to solve the murder of an elderly curator of the Louvre, a case which leads to clues hidden in the works of Da Vinci and a centuries-old secret society.",0385504209
Divine secrets of the Ya-Ya Sisterhood : a novel,['Rebecca Wells'],A NOVEL ABOUT THE COMPLEX BONDS BETWEEN A MOTHER AND A DAUGHTER.,0060928336
The Red Tent,['Anita Diamant'],"Her name is Dinah. In the Bible, her life is only hinted at in a brief and violent detour within the more familiar chapters of the Book of Genesis that are about her father, Jacob, and his dozen sons. Told in Dinah's voice, this novel reveals the traditions and turmoils of ancient womanhood--the world of the red tent. It begins with the story of her mothers--Leah, Rachel, Zilpah, and Bilhah--the four wives of Jacob. They love Dinah and give her gifts that sustain her through a hard-working youth, a calling to midwifery, and a new home in a foreign land. Dinah's story reaches out from a remarkable period of early history and creates an intimate connection with the past. Deeply affecting, The Red Tent combines rich storytelling with a valuable achievement in modern fiction: a new view of biblical women's society.",0312195516
A Painted House,['John Grisham'],"Racial tension, a forbidden love affair, and murder are seen through the eyes of a seven-year-old boy in a 1950s Southern cotton-farming community.",044023722X
Memoirs of a Geisha,['Arthur Golden'],"National best seller, Japan's most celebrated geisha, confessions novel.",0679781587
The Secret Life of Bees,['Sue Monk Kidd'],"The multi-million bestselling novel about a young girl's journey towards healing and the transforming power of love, from the award-winning author of The Invention of Wings and The Book of Longings Set in South Carolina in 1964, The Secret Life of Bees tells the story of Lily Owens, whose life has been shaped around the blurred memory of the afternoon her mother was killed. When Lily's fierce-hearted Black ""stand-in mother,"" Rosaleen, insults three of the deepest racists in town, Lily decides to spring them both free. They escape to Tiburon, South Carolina—a town that holds the secret to her mother's past. Taken in by an eccentric trio of Black beekeeping sisters, Lily is introduced to their mesmerizing world of bees and honey, and the Black Madonna. This is a remarkable novel about divine female power, a story that women will share and pass on to their daughters for years to come.",0142001740
Snow Falling on Cedars,['David Guterson'],"In 1954, Ishmael Chambers, a local reporter who lost an arm in the war, covers the murder trial of a Japanese American fisherman, whose wife had been Ishmael's childhood sweetheart",067976402X
Angels & Demons,['Dan Brown'],"An ancient secret brotherhood. A devastating new weapon of destruction. An unthinkable target. ANGELS&DEMONS World-renowned Harvard symbologist Robert Langdon is summoned to a Swiss cryptic symbol seared into the chest of a murdered physicist. What he discovers is unimaginable: a deadly vendetta against the Catholic Church by a centuries-old underground organization -- the Illuminati. Desperate to save the Vatican from a powerful the Vatican from a powerful time bomb, Langdon joins forces in Rome with the beautiful and mysterious scientist Vittoria Vetra. Together they embark on a frantic hunt through sealed crypts, dangerous catacombs, deserted cathedrals, and the most secretive long-forgotten Illuminati lair. DEMONS.",0671027360
Harry Potter and the Sorcerer's Stone,['J. K. Rowling'],"Rescued from the outrageous neglect of his aunt and uncle, a young boy with a great destiny proves his worth while attending Hogwarts School for Witchcraft and Wizardry.",059035342X
The Pilot's Wife,['Anita Shreve'],"Anita Shreve's hauntingly beautiful #1 bestseller and Oprah's Book Club selection about tragedy, grief, betrayal, and the 'impossibility of knowing another person.' As a pilot's wife, Kathryn has learned to expect both intense exhilaration and long periods alone, but nothing has prepared her for a late-night knock that lets her know her husband has died in a crash. Until now, Kathryn Lyons's life has been peaceful if unextraordinary: a satisfying job teaching high school in the New England mill town of her childhood; a picture-perfect home by the ocean; a precocious, independent-minded fifteen-year-old daughter; and a happy marriage whose occasional dull passages she attributes to the unavoidable deadening of time. As Kathryn struggles with her grief, she descends into a maelstrom of publicity stirred up by the modern hunger for the details of tragedy. Even before the plane is located in waters off the Irish coast, the relentless scrutiny of her husband's life begins to bring a bizarre personal mystery into focus. Could there be any truth to the increasingly disturbing rumors that he had a secret life?",0316601950
House of Sand and Fog,['Andre Dubus'],"When a former colonel of the Iranian Air Force and his family purchase a small California home at auction, they are faced with a great conflict as the former owner and her police officer boyfriend fight to get it back at any cost.",0375727345
The Firm,['John Grisham'],"Mitch McDeere, a Harvard Law graduate, becomes suspicious of his Memphis tax firm when mysterious deaths, obsessive office security, and the Chicago Mob figure into its operations. Reprint. Movie tie-in.",044021145X
Girl with a Pearl Earring,['Tracy Chevalier'],"A poor seventeenth-century servant girl knows her place in the household of the painter Johannes Vermeer, but when he begins to paint her, nasty whispers and rumors circulate throughout the town. Reissue. (A Lions Gate Films production, releasing November 2003, starring Colin Firth & Scarlett Johannson) (Historical Fiction)",0452282152
The Pelican Brief,['John Grisham'],A law student in New Orleans writes a legal brief that ends up making her enemies in high places. Movie tie-in. Reprint.,0440214041
The Joy Luck Club,['Amy Tan'],"Encompassing two generations and a rich blend of Chinese and American history, the story of four struggling, strong women also reveals their daughters' memories and feelings",0804106304
A Time to Kill,['John Grisham'],"Following the brutal rape of his ten-year-old daughter, Carl Lee Haily, a black man living in a small Mississippi town, kills the two white men accused of the crime",0440211727
Interview with the Vampire,['Anne Rice'],"Recounting his first two hundred years of life, a vampire tells of his erotic alliance with Claudia, whose passions are forever locked up in the body of a child",0345337662
The Poisonwood Bible,['Barbara Kingsolver'],"Nathan Price, a evangelical Baptist who in 1959 has taken his wife and four daughters on a mission to the Belgian Congo, finds that their traditions are no longer secure in this very different world. Reprint. 250,000 first printing.",0060930535
