User-ID,ISBN,Book-Rating
276788,043935806X,7
276925,0385504209,8
276953,0446310786,10
276964,0440220602,9
277042,0971880107,2
277124,0440241073,9
277143,0345342968,9
277195,0671021001,10
277212,044023722X,8
277246,0452282152,10
277261,0440241073,7
277315,0060976845,5
277358,0679781587,10
277378,0312195516,7
277378,0446608955,4
277427,0316776963,8
277427,0385504209,8
277427,0440224764,7
277439,0316666343,7
277439,0671027360,7
277462,0312195516,10
277469,0553572997,9
277517,0452282152,8
277535,0316601950,9
277598,0375707972,8
277629,0440241073,8
277639,0380731851,6
277639,0440211727,8
277639,0440214041,9
277698,0316769487,6
277743,0446310786,9
277744,0345339681,3
277752,0316666343,7
277756,0385484518,7
277776,0345339681,7
277798,0385484518,8
277803,0142001740,8
277807,0345443284,5
277873,0679781587,10
277901,0452282152,8
277903,0440226430,8
277915,0671510053,7
277922,0440225701,6
277923,0385492081,9
277937,0060934417,9
277937,0743237188,7
277958,0142001740,9
277965,0385484518,10
277965,0679781587,9
277997,067976402X,8
278007,0316601950,6
278026,0380731851,5
278075,0452282152,8
278107,0446605239,8
278122,0375727345,10
278137,0345337662,7
278137,0446606812,7
278137,0804106304,8
278162,059035342X,10
278176,0971880107,9
278185,0142000205,4
278188,0440225701,9
278220,0671003755,8
278221,0804106304,9
278243,0375725784,7
278243,0671510053,8
278254,0671027360,8
278325,0440214041,7
278333,0440225701,10
278342,0671510053,8
278350,0312195516,9
278356,043935806X,10
278390,0671027360,7
278390,080410753X,9
278422,0671027360,6
278469,0743237188,7
278483,0380731851,8
278535,0446610038,10
278541,0142001740,9
278543,0446605239,5
278552,0671021001,7
278552,0671510053,8
278582,1400034779,10
278586,0446606812,5
278633,014028009X,2
278633,0142000205,7
278633,0316096199,8
278633,0316666343,9
278633,0440226430,9
278653,0446606812,6
278698,0440241073,10
278755,0385492081,1
278773,0380731851,8
278798,0316284955,7
278843,014028009X,8
278843,0142000205,9
278843,059035342X,8
278844,0679781587,7
26,0446310786,10
51,0440225701,9
91,0316769487,9
114,0671027360,10
165,0060976845,9
243,0316601950,9
243,0316776963,9
243,0385720106,7
243,044023722X,7
244,0060987103,8
254,0142001740,9
254,0380789035,10
254,0671021001,7
254,0679781587,8
256,044023722X,8
280,0316769487,7
388,0060976845,3
388,006101351X,6
424,0671021001,6
433,0842329129,5
453,0312278586,6
486,0060976845,8
505,0345313860,7
507,0142001740,10
558,0446364193,8
595,0140293248,9
638,0316666343,10
638,0316769487,10
638,0316776963,10
638,0385504209,10
709,0316666343,3
763,0671510053,10
763,0679781587,8
785,0743237188,5
805,0060928336,7
805,0452282152,8
805,0671003755,8
819,0446364193,7
882,0385504209,10
882,0553572997,10
882,067976402X,10
882,0679781587,10
885,0804106304,5
899,0971880107,2
900,0060928336,9
936,0679781587,5
938,0385335482,9
1008,0312195516,9
1021,0060930535,10
1025,0060928336,5
1031,0671027360,7
1032,0446310786,10
1054,1400034779,8
1075,0142001740,10
1075,0316666343,7
1075,0375726403,7
1075,0385504209,7
1075,1400034779,5
1083,080410753X,7
1131,0060934417,8
1131,0060976845,7
1131,0743418174,7
1161,0375725784,5
1167,0440224675,8
1211,0385504209,9
1235,0345378490,9
1249,0440226430,5
1254,0679781587,9
1261,0316776963,8
1261,0452282152,7
1264,0375707972,8
1376,0345417623,8
1377,0440224764,8
1389,0553572997,9
1424,0060930535,7
1424,0385720106,7
1424,0804106304,6
1433,0743418174,3
1435,0345378490,5
1435,080410753X,10
1435,0971880107,5
1436,044022165X,6
1486,0971880107,5
1489,0385492081,8
1504,0345370775,8
1513,0671510053,8
1530,044023722X,8
1535,067976402X,10
1548,0452282152,8
1585,0449212602,8
1608,0449212602,10
1619,0440225701,9
1650,0804106304,10
1652,0385504209,7
1652,0679781587,7
1674,0375725784,10
1718,0743418174,8
1733,059035342X,10
1733,0971880107,1
1768,0440226430,10
1773,0804106304,9
1790,044022165X,5
1803,0385504209,9
1805,0312195516,9
1830,0553572997,7
1848,0345342968,10
1848,0345417623,8
1848,0786868716,10
1898,0385484518,8
1928,0316666343,10
1933,0440226430,8
2012,0345353145,8
2012,0553279912,10
2019,0440211727,5
2019,0440214041,5
2033,0345337662,5
2033,043935806X,9
2089,0446605239,10
2099,0440224764,8
2108,0553572997,9
2110,059035342X,10
2127,0446605239,8
2179,0060392452,9
2179,0385504209,10
2183,0671021001,9
2197,0312291639,9
2204,0440211727,9
2276,0440221471,10
2276,0440236673,10
2333,0312195516,9
2337,0060928336,9
2337,0142001740,8
2357,0375725784,8
2375,0671003755,9
2388,0142001740,6
2399,0345337662,9
2411,0971880107,3
2503,1400034779,7
2559,0060928336,7
2569,0553572997,8
2591,0449212602,9
2638,0142000205,8
2766,0316666343,9
2766,0446310786,10
2766,0553279912,7
2766,0971880107,6
2770,0842329129,6
2854,0316666343,7
2891,0060928336,6
2891,0142001740,7
2891,0671003755,7
2891,0804106304,7
2907,044023722X,5
2977,0375725784,3
